episodio,win_rate_q_learning,win_rate_sarsa
1000,0.308,0.288
2000,0.297,0.336
3000,0.331,0.338
4000,0.367,0.321
5000,0.361,0.331
6000,0.345,0.346
7000,0.334,0.352
8000,0.372,0.361
9000,0.37,0.342
10000,0.378,0.343
11000,0.35,0.38
12000,0.352,0.37
13000,0.374,0.38
14000,0.377,0.37
15000,0.369,0.389
16000,0.387,0.408
17000,0.382,0.387
18000,0.352,0.403
19000,0.378,0.383
20000,0.373,0.433
21000,0.43,0.39
22000,0.399,0.41
23000,0.4,0.394
24000,0.408,0.418
25000,0.399,0.41
26000,0.43,0.418
27000,0.398,0.372
28000,0.431,0.397
29000,0.412,0.414
30000,0.411,0.406
31000,0.419,0.401
32000,0.374,0.414
33000,0.402,0.402
34000,0.404,0.415
35000,0.415,0.43
36000,0.427,0.431
37000,0.414,0.399
38000,0.432,0.424
39000,0.408,0.428
40000,0.431,0.414
41000,0.436,0.408
42000,0.432,0.418
43000,0.43,0.413
44000,0.397,0.434
45000,0.409,0.423
46000,0.417,0.436
47000,0.393,0.415
48000,0.431,0.423
49000,0.412,0.436
50000,0.405,0.402
51000,0.429,0.42
52000,0.442,0.442
53000,0.418,0.407
54000,0.415,0.399
55000,0.412,0.419
56000,0.414,0.421
57000,0.43,0.429
58000,0.399,0.431
59000,0.407,0.427
60000,0.381,0.407
61000,0.435,0.428
62000,0.402,0.404
63000,0.426,0.42
64000,0.404,0.411
65000,0.442,0.395
66000,0.421,0.439
67000,0.411,0.411
68000,0.385,0.429
69000,0.405,0.399
70000,0.452,0.413
71000,0.446,0.422
72000,0.427,0.417
73000,0.406,0.401
74000,0.426,0.433
75000,0.381,0.429
76000,0.397,0.429
77000,0.411,0.418
78000,0.4,0.431
79000,0.389,0.419
80000,0.411,0.425
81000,0.404,0.43
82000,0.413,0.43
83000,0.431,0.433
84000,0.415,0.433
85000,0.398,0.404
86000,0.419,0.429
87000,0.429,0.403
88000,0.418,0.424
89000,0.438,0.414
90000,0.419,0.416
91000,0.397,0.42
92000,0.406,0.413
93000,0.404,0.408
94000,0.432,0.427
95000,0.426,0.422
96000,0.405,0.421
97000,0.409,0.418
98000,0.428,0.408
99000,0.417,0.412
100000,0.407,0.417
101000,0.395,0.389
102000,0.427,0.418
103000,0.436,0.426
104000,0.402,0.426
105000,0.43,0.43
106000,0.427,0.45
107000,0.448,0.384
108000,0.427,0.391
109000,0.413,0.409
110000,0.413,0.413
111000,0.414,0.412
112000,0.405,0.414
113000,0.418,0.429
114000,0.4,0.426
115000,0.408,0.418
116000,0.422,0.4
117000,0.438,0.396
118000,0.418,0.434
119000,0.406,0.434
120000,0.414,0.423
121000,0.406,0.417
122000,0.442,0.428
123000,0.439,0.423
124000,0.401,0.398
125000,0.443,0.424
126000,0.417,0.418
127000,0.434,0.415
128000,0.419,0.45
129000,0.404,0.404
130000,0.446,0.416
131000,0.414,0.423
132000,0.41,0.443
133000,0.411,0.405
134000,0.403,0.421
135000,0.408,0.422
136000,0.432,0.423
137000,0.408,0.435
138000,0.435,0.43
139000,0.411,0.428
140000,0.403,0.408
141000,0.417,0.41
142000,0.408,0.43
143000,0.428,0.446
144000,0.44,0.421
145000,0.428,0.404
146000,0.424,0.425
147000,0.42,0.428
148000,0.423,0.45
149000,0.432,0.41
150000,0.392,0.416
151000,0.429,0.409
152000,0.429,0.415
153000,0.44,0.452
154000,0.422,0.427
155000,0.441,0.437
156000,0.393,0.44
157000,0.432,0.409
158000,0.419,0.418
159000,0.436,0.441
160000,0.43,0.437
161000,0.4,0.437
162000,0.409,0.394
163000,0.419,0.423
164000,0.417,0.415
165000,0.403,0.434
166000,0.389,0.449
167000,0.436,0.412
168000,0.425,0.417
169000,0.428,0.426
170000,0.397,0.382
171000,0.444,0.369
172000,0.4,0.41
173000,0.413,0.421
174000,0.432,0.413
175000,0.41,0.423
176000,0.413,0.431
177000,0.404,0.433
178000,0.388,0.429
179000,0.429,0.433
180000,0.416,0.421
181000,0.407,0.393
182000,0.449,0.422
183000,0.416,0.42
184000,0.435,0.427
185000,0.409,0.465
186000,0.421,0.398
187000,0.409,0.424
188000,0.405,0.43
189000,0.439,0.441
190000,0.428,0.419
191000,0.425,0.431
192000,0.432,0.409
193000,0.43,0.394
194000,0.395,0.422
195000,0.447,0.423
196000,0.434,0.408
197000,0.441,0.457
198000,0.401,0.429
199000,0.425,0.41
200000,0.406,0.409
201000,0.395,0.439
202000,0.397,0.416
203000,0.406,0.393
204000,0.429,0.42
205000,0.411,0.391
206000,0.427,0.415
207000,0.413,0.373
208000,0.407,0.42
209000,0.437,0.397
210000,0.432,0.413
211000,0.393,0.428
212000,0.436,0.413
213000,0.429,0.422
214000,0.437,0.427
215000,0.424,0.415
216000,0.425,0.402
217000,0.41,0.439
218000,0.423,0.414
219000,0.414,0.406
220000,0.425,0.42
221000,0.406,0.398
222000,0.427,0.423
223000,0.417,0.414
224000,0.406,0.396
225000,0.415,0.427
226000,0.416,0.429
227000,0.435,0.418
228000,0.407,0.432
229000,0.386,0.429
230000,0.416,0.399
231000,0.401,0.421
232000,0.413,0.393
233000,0.441,0.425
234000,0.417,0.434
235000,0.446,0.416
236000,0.431,0.42
237000,0.435,0.381
238000,0.416,0.41
239000,0.384,0.428
240000,0.418,0.419
241000,0.409,0.43
242000,0.41,0.4
243000,0.408,0.423
244000,0.397,0.423
245000,0.418,0.435
246000,0.403,0.438
247000,0.427,0.408
248000,0.422,0.399
249000,0.399,0.436
250000,0.404,0.444
251000,0.408,0.422
252000,0.386,0.41
253000,0.396,0.437
254000,0.424,0.453
255000,0.408,0.424
256000,0.416,0.432
257000,0.439,0.402
258000,0.433,0.426
259000,0.413,0.415
260000,0.405,0.401
261000,0.403,0.414
262000,0.43,0.425
263000,0.441,0.434
264000,0.431,0.424
265000,0.404,0.42
266000,0.397,0.431
267000,0.41,0.424
268000,0.427,0.418
269000,0.412,0.406
270000,0.4,0.373
271000,0.45,0.412
272000,0.419,0.45
273000,0.42,0.452
274000,0.431,0.448
275000,0.436,0.399
276000,0.419,0.427
277000,0.407,0.407
278000,0.386,0.41
279000,0.385,0.416
280000,0.431,0.396
281000,0.442,0.418
282000,0.431,0.431
283000,0.401,0.406
284000,0.403,0.419
285000,0.448,0.415
286000,0.397,0.401
287000,0.391,0.429
288000,0.397,0.424
289000,0.413,0.421
290000,0.424,0.415
291000,0.425,0.387
292000,0.411,0.438
293000,0.443,0.411
294000,0.418,0.41
295000,0.412,0.441
296000,0.448,0.421
297000,0.435,0.407
298000,0.414,0.414
299000,0.419,0.393
300000,0.424,0.411
301000,0.419,0.421
302000,0.424,0.425
303000,0.405,0.429
304000,0.412,0.425
305000,0.436,0.417
306000,0.394,0.419
307000,0.417,0.395
308000,0.427,0.418
309000,0.417,0.438
310000,0.448,0.411
311000,0.429,0.449
312000,0.417,0.468
313000,0.385,0.432
314000,0.444,0.42
315000,0.441,0.421
316000,0.423,0.421
317000,0.412,0.393
318000,0.431,0.413
319000,0.39,0.401
320000,0.411,0.411
321000,0.449,0.417
322000,0.438,0.432
323000,0.413,0.411
324000,0.42,0.43
325000,0.433,0.392
326000,0.442,0.413
327000,0.421,0.405
328000,0.442,0.408
329000,0.404,0.414
330000,0.427,0.407
331000,0.408,0.413
332000,0.429,0.457
333000,0.396,0.384
334000,0.428,0.393
335000,0.39,0.387
336000,0.413,0.405
337000,0.42,0.424
338000,0.409,0.419
339000,0.43,0.41
340000,0.419,0.401
341000,0.405,0.418
342000,0.413,0.427
343000,0.397,0.43
344000,0.438,0.375
345000,0.411,0.414
346000,0.386,0.431
347000,0.446,0.411
348000,0.421,0.425
349000,0.398,0.45
350000,0.408,0.421
351000,0.413,0.403
352000,0.395,0.438
353000,0.427,0.423
354000,0.412,0.417
355000,0.43,0.395
356000,0.397,0.419
357000,0.422,0.41
358000,0.402,0.4
359000,0.403,0.424
360000,0.416,0.422
361000,0.432,0.422
362000,0.392,0.417
363000,0.415,0.414
364000,0.409,0.408
365000,0.42,0.416
366000,0.406,0.414
367000,0.42,0.391
368000,0.395,0.463
369000,0.409,0.427
370000,0.419,0.391
371000,0.399,0.404
372000,0.426,0.418
373000,0.415,0.448
374000,0.423,0.428
375000,0.427,0.428
376000,0.399,0.417
377000,0.446,0.433
378000,0.406,0.448
379000,0.402,0.402
380000,0.425,0.4
381000,0.407,0.392
382000,0.402,0.402
383000,0.413,0.425
384000,0.432,0.435
385000,0.413,0.436
386000,0.392,0.421
387000,0.445,0.432
388000,0.434,0.452
389000,0.413,0.417
390000,0.414,0.434
391000,0.435,0.431
392000,0.404,0.428
393000,0.412,0.432
394000,0.406,0.404
395000,0.412,0.415
396000,0.403,0.442
397000,0.399,0.44
398000,0.423,0.391
399000,0.417,0.461
400000,0.407,0.444
401000,0.399,0.429
402000,0.444,0.446
403000,0.413,0.417
404000,0.42,0.431
405000,0.429,0.428
406000,0.427,0.421
407000,0.409,0.409
408000,0.412,0.42
409000,0.416,0.388
410000,0.427,0.428
411000,0.395,0.412
412000,0.443,0.387
413000,0.416,0.434
414000,0.429,0.431
415000,0.425,0.411
416000,0.391,0.445
417000,0.424,0.425
418000,0.406,0.416
419000,0.421,0.442
420000,0.397,0.435
421000,0.414,0.421
422000,0.428,0.41
423000,0.439,0.415
424000,0.449,0.404
425000,0.41,0.433
426000,0.406,0.424
427000,0.399,0.448
428000,0.399,0.421
429000,0.426,0.444
430000,0.446,0.402
431000,0.425,0.43
432000,0.427,0.412
433000,0.416,0.425
434000,0.423,0.42
435000,0.412,0.389
436000,0.433,0.433
437000,0.432,0.401
438000,0.405,0.44
439000,0.413,0.414
440000,0.441,0.394
441000,0.428,0.427
442000,0.416,0.429
443000,0.41,0.408
444000,0.426,0.433
445000,0.421,0.409
446000,0.422,0.447
447000,0.411,0.427
448000,0.401,0.407
449000,0.406,0.421
450000,0.404,0.405
451000,0.412,0.434
452000,0.409,0.422
453000,0.405,0.409
454000,0.459,0.407
455000,0.413,0.413
456000,0.446,0.407
457000,0.422,0.41
458000,0.434,0.397
459000,0.424,0.42
460000,0.425,0.407
461000,0.433,0.438
462000,0.434,0.441
463000,0.407,0.425
464000,0.431,0.418
465000,0.429,0.424
466000,0.403,0.445
467000,0.419,0.425
468000,0.394,0.402
469000,0.414,0.417
470000,0.441,0.444
471000,0.393,0.428
472000,0.412,0.417
473000,0.433,0.41
474000,0.414,0.426
475000,0.44,0.428
476000,0.44,0.419
477000,0.425,0.412
478000,0.418,0.407
479000,0.443,0.421
480000,0.403,0.428
481000,0.407,0.424
482000,0.424,0.405
483000,0.417,0.405
484000,0.412,0.43
485000,0.414,0.413
486000,0.427,0.428
487000,0.439,0.383
488000,0.433,0.438
489000,0.427,0.425
490000,0.444,0.462
491000,0.397,0.434
492000,0.416,0.435
493000,0.415,0.423
494000,0.404,0.418
495000,0.469,0.418
496000,0.466,0.409
497000,0.43,0.414
498000,0.428,0.424
499000,0.423,0.418
500000,0.421,0.409
